# id,snap_id,uid,x,y,z,x_pixel,y_pixel,i_sector,M500_msolh,r500_kpch,gas_frac,star_frac,T_kev,Lx_ergs,Y500c,M_sat_M_cD,cshift,vx,vy,vz 
871476,27,505,261126.67,232628.2,317936.47,12154,5556,6,7.12179e+13,531.234,0.0797462,0.0303513,1.61365,0.221032,4.837527,0.244272,0.0532107,251.43,106.572,72.7241 
871451,27,480,275651.66,343012.69,203552.08,12830,418,3,7.13463e+13,531.537,0.0895123,0.0264367,1.70413,0.292401,5.738172,0.245859,0.0761652,-235.933,200.153,260.905 
871545,27,574,232646.52,342050.56,131829.03,10828,463,2,7.14328e+13,531.752,0.0654826,0.0334265,1.79927,0.154013,4.4339143,0.0792141,0.0435416,161.778,88.9792,175.973 
871300,27,329,64084.168,8190.5059,285559.38,2982,16002,12,7.14738e+13,531.845,0.0747419,0.0335489,1.85252,0.170383,5.2118076,0.279448,0.0607737,-370.589,-90.942,-11.2049 
871257,27,286,286280.88,93030.578,274536.19,13325,12053,11,7.1556e+13,532.072,0.0710806,0.0324598,1.78865,0.163131,4.7870527,0.0917149,0.0563216,329.439,-172.046,9.81746 
871402,27,431,298930.09,186733.34,265490.69,13913,7692,7,7.15845e+13,532.12,0.0723185,0.0381838,1.79771,0.16714,4.8961442,0.0896312,0.0146083,-36.0699,300.512,-289.61 
871401,27,430,321254.22,218684.48,61051.438,14952,6205,7,7.17404e+13,532.524,0.100551,0.0296909,1.85061,0.339826,7.0124457,0.121677,0.0476706,-318.847,-450.101,383.781 
871623,27,652,176806.44,329075.31,94005.961,8229,1067,2,7.17998e+13,532.663,0.0810543,0.0315604,1.90941,0.200282,5.8341721,0.413977,0.0771302,318.592,-461.769,-220.607 
871439,27,468,90765.438,341375.5,195920.86,4224,494,1,7.18121e+13,532.687,0.07319,0.0370511,1.8853,0.190707,5.202003,0.0257296,0.0403649,-220.398,10.6422,197.495 
871849,27,878,263044.28,202287.67,37882.715,12243,6968,6,7.18721e+13,532.843,0.0857271,0.0238279,1.81773,0.279149,5.876154,0.169196,0.0523547,-28.5437,721.641,-173.82 
871416,27,445,13157.417,36580.492,257199.06,612,14681,12,7.18909e+13,532.902,0.0777657,0.0333531,1.7827,0.215938,5.2279208,0.48595,0.066669,-444.48,44.4671,-236.264 
871235,27,264,302141.25,233409.22,310998.75,14063,5519,7,7.23318e+13,533.968,0.0823204,0.0288171,1.78073,0.228311,5.5397335,0.153112,0.037121,-332.806,-258.143,-215.527 
871403,27,432,85305.867,228669.28,175055.55,3970,5740,4,7.23709e+13,534.064,0.0891849,0.0261209,1.66545,0.27013,5.61418,0.207003,0.0575474,-280.305,-392.341,-279.52 
871478,27,507,201148.84,210900.09,207311.58,9362,6567,6,7.24103e+13,534.182,0.0708186,0.0325184,2.01282,0.177671,5.388404,0.0301554,0.0366383,223.135,482.767,-182.848 
871301,27,330,9752.3975,281350.44,57910.484,453,3288,0,7.27582e+13,535.024,0.0866666,0.0271944,1.67904,0.223055,5.5097445,0.16372,0.0424792,-244.653,-114.336,-176.168 
871337,27,366,262413.66,202985.94,35682.668,12214,6935,6,7.27618e+13,535.043,0.0842449,0.0336143,1.93331,0.237486,6.1667291,0.158363,0.0510521,-67.5893,32.9697,194.419 
871409,27,438,142496.73,103391.91,161429.16,6632,11571,9,7.27728e+13,535.068,0.0676638,0.0346784,1.87818,0.157931,4.8120509,0.12891,0.0430865,21.7042,-82.2619,5.88087 
871201,27,230,168231.33,305644.91,210781.67,7830,2157,1,7.28319e+13,535.205,0.0973921,0.0217199,1.85744,0.397775,6.8517918,0.320511,0.0969902,598.759,-111.51,76.6407 
871500,27,529,178069.83,285163.03,148106.52,8288,3110,2,7.31305e+13,535.945,0.0726695,0.0311172,1.8471,0.214585,5.0908151,0.173667,0.0890041,804.548,-287.628,-64.4682 
871239,27,268,244982.36,132306.22,330200.16,11402,10225,10,7.32535e+13,536.227,0.0788927,0.0352485,1.98221,0.244944,5.9347303,0.17656,0.0464559,-407.224,343.33,17.0184 
871429,27,458,169029.8,156783.89,290611.53,7867,9086,9,7.33661e+13,536.5,0.087508,0.0319961,1.67661,0.926084,5.5708441,0.0634394,0.0373098,388.709,376.942,-48.8993 
871166,27,195,21610.795,32624.582,240882.98,1005,14865,12,7.34234e+13,536.634,0.097443,0.0292005,1.6,0.318138,5.9215444,0.693954,0.0532592,-311.133,-238.845,97.8337 
871220,27,249,218679.16,247448.89,12391.564,10178,4866,6,7.37472e+13,537.449,0.0811065,0.035559,2.04675,0.249225,6.3135892,0.0688215,0.0664061,1.29663,-44.5401,277.758 
871462,27,491,275210.0,185867.92,235125.44,12809,7732,7,7.37576e+13,537.46,0.0750799,0.0325231,1.76401,0.192787,5.0376075,0.108626,0.0329959,375.526,470.019,263.812 
871126,27,155,240597.92,276002.75,210138.27,11198,3537,2,7.38889e+13,537.78,0.0837597,0.0369656,1.68458,0.204522,5.3700897,0.0934936,0.0243035,-512.193,-520.14,-382.474 
871372,27,401,274764.19,25006.137,199343.3,12789,15220,15,7.39042e+13,537.828,0.0701402,0.0331046,1.95042,0.167094,5.2066755,0.056913,0.0471165,-233.277,-642.439,109.181 
871357,27,386,122697.49,346766.25,112824.07,5711,243,1,7.39121e+13,537.832,0.0867961,0.0339138,1.76291,0.255073,5.8242254,0.0503828,0.030536,-23.8023,125.755,205.556 
871261,27,290,224047.3,262604.38,182128.59,10428,4160,6,7.40111e+13,538.082,0.0925884,0.0297263,1.87618,0.286712,6.6148024,0.209362,0.0580916,27.6097,135.133,329.532 
871123,27,152,18470.951,22027.848,235535.94,859,15358,12,7.41366e+13,538.394,0.100569,0.0290039,1.7294,0.319971,6.6264181,0.299848,0.0306024,13.5689,222.696,134.633 
871374,27,403,230797.62,196677.88,242558.59,10742,7229,6,7.42011e+13,538.538,0.0709347,0.0327355,1.94947,0.179985,5.2703311,0.124093,0.0720872,-234.667,93.4737,-136.669 
871370,27,399,183487.27,321743.34,306780.97,8540,1408,2,7.4521e+13,539.323,0.0839783,0.0341543,1.70294,0.231461,5.4579806,0.181121,0.0690358,700.706,187.34,-164.438 
871504,27,533,136754.53,199487.17,223916.97,6365,7098,5,7.45263e+13,539.329,0.0744044,0.0359395,1.8394,0.171533,5.223506,0.145899,0.0315099,197.156,145.964,52.3677 
871380,27,409,294336.09,194364.06,309356.59,13700,7337,7,7.49354e+13,540.305,0.0765261,0.0335692,2.01103,0.201692,5.8846618,0.107917,0.0348145,173.555,457.431,-186.319 
871311,27,340,139749.31,80953.969,320541.22,6504,12615,13,7.50885e+13,540.669,0.0845394,0.0294992,1.70483,0.235365,5.5148615,0.159771,0.0211169,188.503,62.2518,-457.168 
871673,27,702,155878.84,248410.11,269863.28,7255,4821,5,7.51483e+13,540.826,0.0834398,0.0261193,1.67549,0.266718,5.3506106,0.374194,0.0443024,180.158,-184.165,-391.214 
871346,27,375,310116.25,216393.03,306930.06,14434,6311,7,7.5153e+13,540.841,0.0742098,0.0336581,1.80903,0.172716,5.1380535,0.36124,0.0251099,10.6192,552.448,-267.153 
871375,27,404,309519.59,199330.09,126193.01,14406,7106,7,7.53382e+13,541.286,0.0611436,0.0342351,2.08645,0.137529,4.8865725,0.0296609,0.0430484,205.359,-42.1769,197.067 
871397,27,426,53135.18,143372.17,24579.951,2473,9710,8,7.53885e+13,541.396,0.074677,0.0287757,1.77576,0.20166,5.080786,0.0978513,0.0162108,-92.669,86.574,781.137 
871335,27,364,30662.811,98111.578,3018.793,1427,11817,8,7.55982e+13,541.889,0.0834591,0.033559,1.76018,0.227514,5.6338704,0.286212,0.0162323,-80.4784,94.9449,-126.042 
871352,27,381,193117.86,30095.055,175625.25,8988,14983,14,7.565e+13,542.013,0.081965,0.0312071,1.66928,0.243626,5.2484365,0.0862486,0.0704231,215.508,-84.3615,71.4415 
871319,27,348,81271.375,196627.23,9772.4023,3782,7231,4,7.57632e+13,542.286,0.0806193,0.0326193,1.83519,0.248569,5.6781531,0.121676,0.0470407,-230.97,-139.711,180.696 
871343,27,372,326884.28,66322.469,158513.09,15214,13296,15,7.58982e+13,542.628,0.0682954,0.0327377,1.94199,0.158351,5.0927361,0.137769,0.0484401,11.1859,-122.652,61.0323 
871448,27,477,241336.38,79303.961,102497.73,11233,12692,14,7.60208e+13,542.9,0.0758327,0.0364481,1.86548,0.197593,5.4353061,0.0917817,0.0304862,-114.393,23.2714,321.646 
871381,27,410,128285.97,253481.58,72477.836,5971,4585,5,7.60391e+13,542.957,0.0732904,0.039868,1.95165,0.181198,5.4959204,0.0179643,0.0304395,132.058,-585.338,175.563 
871574,27,603,105061.07,264078.66,7542.2329,4890,4092,1,7.61128e+13,543.136,0.0846261,0.0263722,1.5535,0.28223,5.0529107,0.442866,0.0545876,211.956,-242.877,-91.5452 
871292,27,321,1150.444,171295.2,128840.51,53,8410,8,7.61506e+13,543.22,0.0855824,0.0296348,1.73748,0.231613,5.716257,0.312585,0.0335731,-586.735,155.002,24.8791 
871426,27,455,229618.23,69216.781,126189.8,10687,13162,14,7.64125e+13,543.838,0.0812448,0.0349646,1.89226,0.239972,5.9167813,0.0608969,0.0431819,181.586,154.558,-18.3843 
871477,27,506,287572.28,313023.19,235149.14,13385,1814,3,7.6656e+13,544.422,0.0660116,0.0265823,2.10055,0.186585,5.3421179,0.0896788,0.0538088,-161.714,186.842,157.006 
871544,27,573,129466.73,22403.859,121988.53,6026,15341,13,7.67533e+13,544.635,0.0697398,0.0325656,2.08309,0.196493,5.5996375,0.0578401,0.0314759,224.801,86.0802,409.88 
871480,27,509,77849.633,211611.41,76849.68,3623,6534,4,7.68155e+13,544.785,0.0729155,0.0360058,1.93793,0.187396,5.4480471,0.0535054,0.03213,24.0553,103.069,282.722 
871356,27,385,5656.5767,309560.53,315953.0,263,1975,0,7.68337e+13,544.83,0.0748226,0.0310051,1.86538,0.198364,5.3816438,0.0689723,0.0326979,-208.908,-73.9806,-70.4647 
871436,27,465,75006.75,149964.06,85132.109,3491,9403,8,7.69485e+13,545.095,0.0781217,0.0299907,1.82077,0.212261,5.4873969,0.0888922,0.0336057,253.926,233.869,376.256 
871490,27,519,332707.38,104361.27,18412.322,15486,11526,11,7.7091e+13,545.442,0.0817478,0.0321604,1.9334,0.263862,6.1008375,0.0516666,0.00454411,258.945,157.934,-369.875 
871523,27,552,169380.34,90772.18,339954.81,7883,12158,9,7.71045e+13,545.471,0.0809148,0.0285096,1.91934,0.237264,5.9951579,0.169043,0.0320263,-26.4993,163.348,-100.061 
871501,27,530,232566.59,314660.5,176579.56,10824,1737,2,7.7135e+13,545.547,0.0920117,0.0291151,1.71588,0.332827,6.0954062,0.361074,0.0596018,-243.733,-339.422,25.1418 
871481,27,510,9860.8271,250482.22,237561.17,458,4725,4,7.72456e+13,545.805,0.0797677,0.0283917,1.70149,0.241048,5.2425111,0.102565,0.0348984,-92.7781,-433.749,-417.368 
871394,27,423,270937.03,53190.379,45839.926,12610,13908,15,7.72732e+13,545.879,0.0704866,0.0290558,1.93319,0.184697,5.2638286,0.104528,0.0279843,30.1389,241.718,358.352 
